Año,Mes,Nombre Programa,Fecha otorgamiento,Tipo acto,Denominación del acto,Fecha acto,Numero de acto,Razón social,Nombres,Primer apellido,Segundo apellido
2025,julio,Promoción y Canales de Comercialización,01-07-2025,Acto,Comité de Evaluación Regional,01-07-2025,CER-D15-015047,COMERCIALIZADORA PRODUCTOS ALIMENTICIOS SERGIO FIGUEROA,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,15-07-2025,Acto,Comité de Evaluación Regional,15-07-2025,CER-D801-015088,ENRAIZA SPA,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,15-07-2025,Acto,Comité de Evaluación Regional,15-07-2025,CER-D801-015088,TALLER PUERTO SUR SPA,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,15-07-2025,Acto,Comité de Evaluación Regional,15-07-2025,CER-D801-015088,PILA DE PAPELES SPA,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,15-07-2025,Acto,Comité de Evaluación Regional,15-07-2025,CER-D801-015088,CHOCOLATERÍA MAURICIO VERGARA TRONCOSO E.I.R.L.,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,15-07-2025,Acto,Comité de Evaluación Regional,15-07-2025,CER-D801-015088,FAB Y COM DE PRODUCTOS ELAB CON MATERIALES NATURALES EIRL,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,15-07-2025,Acto,Comité de Evaluación Regional,15-07-2025,CER-D801-015088,COMERCIALIZADORA PRODUCTOS ALIMENTICIOS SERGIO FIGUEROA,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,15-07-2025,Acto,Comité de Evaluación Regional,15-07-2025,CER-D801-015088,MARIA PATRICIA HERRERA MENESES,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,15-07-2025,Acto,Comité de Evaluación Regional,15-07-2025,CER-D801-015088,CECILIA ELENA GONZALEZ BOILLOT EMPORIO NATURAL EIRL,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,15-07-2025,Acto,Comité de Evaluación Regional,15-07-2025,CER-D801-015088,ELABY COM DE PRODUCTOS GOURMET MARCELA GUZMAN ROJAS EIRL,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,15-07-2025,Acto,Comité de Evaluación Regional,15-07-2025,CER-D801-015088,AGUIJESS APITEUTICA SOCIEDAD APICOLA LTDA,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,15-07-2025,Acto,Comité de Evaluación Regional,15-07-2025,CER-D801-015088,MASAS DULCES YORK BAKERY YORKA MARIELA ARÉVALO CISTERNAS E.I.R.L,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,15-07-2025,Acto,Comité de Evaluación Regional,15-07-2025,CER-D801-015088,CALZADOS Y ACCESORIOS FELIPE VALLADARES E.I.R.L.,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,31-07-2025,Acto,Comité de Evaluación Regional,31-07-2025,CER-D05-015117,TALLER PUERTO SUR SPA,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,31-07-2025,Acto,Comité de Evaluación Regional,31-07-2025,CER-D05-015117,ENRAIZA SPA,No aplica,No aplica,No aplica
2025,julio,Promoción y Canales de Comercialización,31-07-2025,Acto,Comité de Evaluación Regional,31-07-2025,CER-D05-015117,PILA DE PAPELES SPA,No aplica,No aplica,No aplica
2025,agosto,Promoción y Canales de Comercialización,07-08-2025,Acto,Comité de Evaluación Regional,07-08-2025,CER-D06-015134,CHOCOLATERÍA MAURICIO VERGARA TRONCOSO E.I.R.L.,No aplica,No aplica,No aplica
2025,agosto,Promoción y Canales de Comercialización,21-08-2025,Acto,Comité de Evaluación Regional,21-08-2025,CER-D09-015175,FAB Y COM DE PRODUCTOS ELAB CON MATERIALES NATURALES EIRL,No aplica,No aplica,No aplica
2025,noviembre,Promoción y Canales de Comercialización,07-11-2025,Acto,Comité de Evaluación Regional,07-11-2025,CER-D13-015404,ELABY COM DE PRODUCTOS GOURMET MARCELA GUZMAN ROJAS EIRL,No aplica,No aplica,No aplica
2025,noviembre,Promoción y Canales de Comercialización,07-11-2025,Acto,Comité de Evaluación Regional,07-11-2025,CER-D13-015404,CALZADOS Y ACCESORIOS FELIPE VALLADARES E.I.R.L.,No aplica,No aplica,No aplica
2025,noviembre,Promoción y Canales de Comercialización,07-11-2025,Acto,Comité de Evaluación Regional,07-11-2025,CER-D13-015404,CECILIA ELENA GONZALEZ BOILLOT EMPORIO NATURAL EIRL,No aplica,No aplica,No aplica
2025,noviembre,Promoción y Canales de Comercialización,07-11-2025,Acto,Comité de Evaluación Regional,07-11-2025,CER-D13-015404,AGUIJESS APITEUTICA SOCIEDAD APICOLA LTDA,No aplica,No aplica,No aplica
2025,noviembre,Promoción y Canales de Comercialización,07-11-2025,Acto,Comité de Evaluación Regional,07-11-2025,CER-D13-015404,MASAS DULCES YORK BAKERY YORKA MARIELA ARÉVALO CISTERNAS E.I.R.L,No aplica,No aplica,No aplica
2025,noviembre,Promoción y Canales de Comercialización,07-11-2025,Acto,Comité de Evaluación Regional,07-11-2025,CER-D13-015404,MARÍA PATRICIA HERRERA MENESES,No aplica,No aplica,No aplica
