rank,razon_social_normalizada,tipo_aparente,cantidad_programas_con_monto_directo,programas_con_monto_directo,suma_topes_conocidos_clp
1,AIR WASH SPA,empresa/razon social con forma societaria visible,3,Crece Sostenible | Mejora Negocios | Ruta Digital Kit Digital,11700000
2,SERVICIO Y TRANSPORTE MERCATUR LIMITADA,empresa/razon social con forma societaria visible,3,Crece Sostenible | Mejora Negocios | Ruta Digital Kit Digital,11700000
3,GRUPO CUNSA SPA,empresa/razon social con forma societaria visible,3,Crece | Mejora Negocios | Negocios Digitales,8000000
4,APICOLA RENE MARTINEZ CARTEZ EIRL,empresa/razon social con forma societaria visible,2,Crece Sostenible | Mejora Negocios,10500000
5,ARACENA Y CASTRO SERVICIOS AGROPECUARIOS Y URBANOS SPA,empresa/razon social con forma societaria visible,2,Crece Sostenible | Mejora Negocios,10500000
6,CERVECERIA ÑUBLE LIMITADA,empresa/razon social con forma societaria visible,2,Crece Sostenible | Negocios Digitales,10500000
7,CHOCOLATERIA MAXIMILIANO CASTRO IBARRA EIRL,empresa/razon social con forma societaria visible,2,Crece Sostenible | Negocios Digitales,10500000
8,COMERCIALIZADORA DE PRODUCTOS MAGICSHINE LTDA.,empresa/razon social con forma societaria visible,2,Crece Sostenible | Mejora Negocios,10500000
9,CONSTRUCCIÓN ARTURO CESAR DELGADO ARAYA EIRL,empresa/razon social con forma societaria visible,2,Crece Sostenible | Mejora Negocios,10500000
10,CONSULTORA DEL VALLE SPA,empresa/razon social con forma societaria visible,2,Crece Sostenible | Mejora Negocios,10500000
11,DISTRIBUIDORA Y VENTA DE AGUA ENVASADA Y ARTÍCULOS COMPLEMENTARIOS,empresa/razon social con forma societaria visible,2,Crece Sostenible | Mejora Negocios,10500000
12,ECO CHILE SPA,empresa/razon social con forma societaria visible,2,Crece Sostenible | Mejora Negocios,10500000
13,ELABORADORA BOA VIDA DE MARÍA FRANCISCA MARDONES NARANJO EIRL,empresa/razon social con forma societaria visible,2,Crece Sostenible | Negocios Digitales,10500000
14,EMBALAJES INDUSTRIALES ARAYA LTDA,empresa/razon social con forma societaria visible,2,Crece Sostenible | Mejora Negocios,10500000
15,JUAN CARLOS DÍAZ ARCE,persona natural o razon social sin forma societaria visible,2,Crece Sostenible | Negocios Digitales,10500000
16,PANEL SIP BIOBIO SPA,empresa/razon social con forma societaria visible,2,Crece Sostenible | Negocios Digitales,10500000
17,PHYSALIS SPA,empresa/razon social con forma societaria visible,2,Crece Sostenible | Negocios Digitales,10500000
18,PRINT SOLUTIONS SPA,empresa/razon social con forma societaria visible,2,Crece Sostenible | Negocios Digitales,10500000
19,RENTAS E INVERSIONES SAN MARINO S.A.,empresa/razon social con forma societaria visible,2,Crece Sostenible | Mejora Negocios,10500000
20,SOCIEDAD DE INVERSIONES Y CONSTRUCCIÓN G Y TEC LIMITADA,empresa/razon social con forma societaria visible,2,Crece Sostenible | Mejora Negocios,10500000
21,AGRICOLA DIEGO KAMINSKI PACHECO EIRL,empresa/razon social con forma societaria visible,2,Crece Sostenible | Ruta Digital Kit Digital,10200000
22,FARMACIA CENTRO LIMITADA,empresa/razon social con forma societaria visible,2,Crece Sostenible | Ruta Digital Kit Digital,10200000
23,HIDROPONIA ACONCAGUA SPA,empresa/razon social con forma societaria visible,2,Crece Sostenible | Ruta Digital Kit Digital,10200000
24,IKIGAI GASTRONOMIA Y SERVICIOS SPA,empresa/razon social con forma societaria visible,2,Crece Sostenible | Ruta Digital Kit Digital,10200000
25,IMPORTADORA Y EXPORTADORA SUDAMERICANA LIMITADA,empresa/razon social con forma societaria visible,2,Crece Sostenible | Ruta Digital Kit Digital,10200000
